,author,title,ups
0,request_bot,r/MakeMeFeelBetter needs moderators and is currently available for request,1
1,nutribunny,I can't breathe. Academic anxiety,5
2,throwaway017593,Trying again,3
3,L_Cubed,I work in customer service and feel agonisingly anxious about whether I should and/or can stick up for myself against bastard customers.,3
4,54756e6472616c,I don't trust it to not just be a defense against the truth,2
5,reynoldswillendyou,Starting my life over again (x post to /r/depression),2
6,your-cat-fuku,So I’m a teenager and I like this girl...,11
7,i-touched-morrissey,"Since Trump got elected and Kavanaugh just got confirmed, I'm freaking out about the American government being run by a bunch of religious, rich white Republican men.",2
8,Skhan2,Feeling depressed,3
9,pineapplepie54,Make me feel better!,4
10,kiti_849,Trouple,0
11,throwaway109u,I have to have a family day with my abusive and neglectful family and I am being haunted by my past childhood trauma. I could use some kind words to get me through this day without self harming anymore.,1
12,FrankTheDiddler,"I'm 33, going through a divorce, have battled depression &amp; anxiety for 19 years, and just got ghosted by a friend for no good reason... I'm just not in a good place.",6
13,[deleted],I’ve been stuck,3
14,sandpaper49,I have cried almost everyday for 1 year and 9 months. I really need cheered up :`(,6
15,apolocervantes,Im stuck with the las 3 exams of my middle school and i cant get out and my family is constantly making me feel dumb,2
16,lost-and-lonely-1984,I Have Planed my Suicide,3
17,Dr_Panda_Msc,Can't stop thinking about the guy that broke my heart,3
18,Makualax,Am I always gonna feel like this?,1
19,R_Knash,There's probably something (else) wrong with me.,2
20,JustStayinAnon,Hey guys,1
21,Throwawayy4847473,I don't value myself as a person and I don't think I ever will,2
22,laloo2425,Inspiration,1
23,fruktpaddan,I feel like a hopeless and horrible person,2
24,bethanylondyn,Score Some Miracles!!,1
25,Makualax,I need some people to give me advice on how I can go on from here,2
26,request_bot,r/MakeMeFeelBetter needs moderators and is currently available for request,1
27,nutribunny,I can't breathe. Academic anxiety,5
28,throwaway017593,Trying again,3
29,L_Cubed,I work in customer service and feel agonisingly anxious about whether I should and/or can stick up for myself against bastard customers.,3
30,54756e6472616c,I don't trust it to not just be a defense against the truth,2
31,reynoldswillendyou,Starting my life over again (x post to /r/depression),2
32,your-cat-fuku,So I’m a teenager and I like this girl...,11
33,i-touched-morrissey,"Since Trump got elected and Kavanaugh just got confirmed, I'm freaking out about the American government being run by a bunch of religious, rich white Republican men.",2
34,Skhan2,Feeling depressed,3
35,pineapplepie54,Make me feel better!,5
36,kiti_849,Trouple,0
37,throwaway109u,I have to have a family day with my abusive and neglectful family and I am being haunted by my past childhood trauma. I could use some kind words to get me through this day without self harming anymore.,1
38,FrankTheDiddler,"I'm 33, going through a divorce, have battled depression &amp; anxiety for 19 years, and just got ghosted by a friend for no good reason... I'm just not in a good place.",7
39,[deleted],I’ve been stuck,3
40,sandpaper49,I have cried almost everyday for 1 year and 9 months. I really need cheered up :`(,6
41,apolocervantes,Im stuck with the las 3 exams of my middle school and i cant get out and my family is constantly making me feel dumb,2
42,lost-and-lonely-1984,I Have Planed my Suicide,4
43,Dr_Panda_Msc,Can't stop thinking about the guy that broke my heart,3
44,Makualax,Am I always gonna feel like this?,1
45,R_Knash,There's probably something (else) wrong with me.,2
46,JustStayinAnon,Hey guys,1
47,Throwawayy4847473,I don't value myself as a person and I don't think I ever will,2
48,laloo2425,Inspiration,1
49,fruktpaddan,I feel like a hopeless and horrible person,2
50,bethanylondyn,Score Some Miracles!!,1
51,Makualax,I need some people to give me advice on how I can go on from here,2
52,request_bot,r/MakeMeFeelBetter needs moderators and is currently available for request,1
53,nutribunny,I can't breathe. Academic anxiety,5
54,throwaway017593,Trying again,3
55,L_Cubed,I work in customer service and feel agonisingly anxious about whether I should and/or can stick up for myself against bastard customers.,3
56,54756e6472616c,I don't trust it to not just be a defense against the truth,2
57,reynoldswillendyou,Starting my life over again (x post to /r/depression),2
58,your-cat-fuku,So I’m a teenager and I like this girl...,11
59,i-touched-morrissey,"Since Trump got elected and Kavanaugh just got confirmed, I'm freaking out about the American government being run by a bunch of religious, rich white Republican men.",2
60,Skhan2,Feeling depressed,3
61,pineapplepie54,Make me feel better!,5
62,kiti_849,Trouple,0
63,throwaway109u,I have to have a family day with my abusive and neglectful family and I am being haunted by my past childhood trauma. I could use some kind words to get me through this day without self harming anymore.,1
64,FrankTheDiddler,"I'm 33, going through a divorce, have battled depression &amp; anxiety for 19 years, and just got ghosted by a friend for no good reason... I'm just not in a good place.",8
65,[deleted],I’ve been stuck,3
66,sandpaper49,I have cried almost everyday for 1 year and 9 months. I really need cheered up :`(,6
67,apolocervantes,Im stuck with the las 3 exams of my middle school and i cant get out and my family is constantly making me feel dumb,2
68,lost-and-lonely-1984,I Have Planed my Suicide,5
69,Dr_Panda_Msc,Can't stop thinking about the guy that broke my heart,3
70,Makualax,Am I always gonna feel like this?,1
71,R_Knash,There's probably something (else) wrong with me.,2
72,JustStayinAnon,Hey guys,1
73,Throwawayy4847473,I don't value myself as a person and I don't think I ever will,2
74,laloo2425,Inspiration,1
75,fruktpaddan,I feel like a hopeless and horrible person,2
76,bethanylondyn,Score Some Miracles!!,1
77,Makualax,I need some people to give me advice on how I can go on from here,2
78,request_bot,r/MakeMeFeelBetter needs moderators and is currently available for request,1
79,nutribunny,I can't breathe. Academic anxiety,5
80,throwaway017593,Trying again,3
81,L_Cubed,I work in customer service and feel agonisingly anxious about whether I should and/or can stick up for myself against bastard customers.,3
82,54756e6472616c,I don't trust it to not just be a defense against the truth,2
83,reynoldswillendyou,Starting my life over again (x post to /r/depression),2
84,your-cat-fuku,So I’m a teenager and I like this girl...,12
85,i-touched-morrissey,"Since Trump got elected and Kavanaugh just got confirmed, I'm freaking out about the American government being run by a bunch of religious, rich white Republican men.",2
86,Skhan2,Feeling depressed,3
87,pineapplepie54,Make me feel better!,5
88,kiti_849,Trouple,0
89,throwaway109u,I have to have a family day with my abusive and neglectful family and I am being haunted by my past childhood trauma. I could use some kind words to get me through this day without self harming anymore.,1
90,FrankTheDiddler,"I'm 33, going through a divorce, have battled depression &amp; anxiety for 19 years, and just got ghosted by a friend for no good reason... I'm just not in a good place.",7
91,[deleted],I’ve been stuck,3
92,sandpaper49,I have cried almost everyday for 1 year and 9 months. I really need cheered up :`(,6
93,apolocervantes,Im stuck with the las 3 exams of my middle school and i cant get out and my family is constantly making me feel dumb,2
