,author,title,ups
0,ftl4438,I’m totally lost,1
1,jmpace6161,This miserable decade ends in 35 days,141
2,Kitkat1025,Thank you r/mentalhealth - you’ve saved me,27
3,Cheerios54,It makes me so FUCKING MAD to see people making fun of kids with real depression/anxiety because they’re “faking it for attention”,9
4,Cheerios54,"Liam, you saved my life.",57
5,Duckerino117,"I'm a recovering anorexic and I made 4 portions of really good pasta last night to last me 3 days, I was proud.",279
6,JKWrites1018,How to suicide-proof your home?,46
7,jaiemoe,Has anyone else gotten to a moment where you realize you feel like yourself for the first time in your life?,29
8,silenceispower123,Just live your life...in a Chinese American Perspective,33
9,RuthlessKiller,"Hi guys, my wife has just self published and illustrated her very own book for young children who suffer with anxiety and depression. We need to teach this and help our young learn from an early age. Please help me by getting the message out there. https://www.trademe.co.nz/2412984773",312
10,axlain,I still think about my ex as my boyfriend.,5
11,odd_delivery,I hadn't realised how much work affected my mental health,2
12,treadingstillwater,rehoming pets (fish),5
13,myfeedconsumption,I'm a massive weird fuck,3
14,RuthlessKiller,Mental Health American and Canadian Contacts,3
15,brielzibub,How do I file a grievance with the county/state authority against a place I recieved treatment?,2
16,eddie_sue,I think i lost faith in my psychiatrists,1
17,josephjc2018,Getting rid of self harm scars,1
18,fuckjucrtlrfr,I keep saying and thinking weird stuff.,1
19,electrahedra,Is it normal to wish I had never existed,1
20,Cheap_Meal,"Talking is hard, but it helps a lot.",5
21,69pencilbiter69,"After 5 years of hell, it's happening!",4
22,dovakin123489,Me rn,2
23,Dreamofnow,I feel like I am beyond sad even melancholic,7
24,trashaccounr,I’m scared to get help from a therapist,4
25,bogeyman_,Weird sounds.Please help me.,2
26,WalkingAnxiety99,My relationship has made me mentally ill,1
27,ftl4438,I’m totally lost,1
28,jmpace6161,This miserable decade ends in 35 days,138
29,Kitkat1025,Thank you r/mentalhealth - you’ve saved me,27
30,Cheerios54,It makes me so FUCKING MAD to see people making fun of kids with real depression/anxiety because they’re “faking it for attention”,9
31,Cheerios54,"Liam, you saved my life.",57
32,Duckerino117,"I'm a recovering anorexic and I made 4 portions of really good pasta last night to last me 3 days, I was proud.",284
33,JKWrites1018,How to suicide-proof your home?,42
34,jaiemoe,Has anyone else gotten to a moment where you realize you feel like yourself for the first time in your life?,29
35,silenceispower123,Just live your life...in a Chinese American Perspective,35
36,RuthlessKiller,"Hi guys, my wife has just self published and illustrated her very own book for young children who suffer with anxiety and depression. We need to teach this and help our young learn from an early age. Please help me by getting the message out there. https://www.trademe.co.nz/2412984773",314
37,axlain,I still think about my ex as my boyfriend.,4
38,odd_delivery,I hadn't realised how much work affected my mental health,2
39,treadingstillwater,rehoming pets (fish),5
40,myfeedconsumption,I'm a massive weird fuck,4
41,RuthlessKiller,Mental Health American and Canadian Contacts,4
42,brielzibub,How do I file a grievance with the county/state authority against a place I recieved treatment?,2
43,eddie_sue,I think i lost faith in my psychiatrists,1
44,josephjc2018,Getting rid of self harm scars,1
45,fuckjucrtlrfr,I keep saying and thinking weird stuff.,1
46,electrahedra,Is it normal to wish I had never existed,1
47,Cheap_Meal,"Talking is hard, but it helps a lot.",7
48,69pencilbiter69,"After 5 years of hell, it's happening!",3
49,dovakin123489,Me rn,2
50,Dreamofnow,I feel like I am beyond sad even melancholic,8
51,trashaccounr,I’m scared to get help from a therapist,4
52,bogeyman_,Weird sounds.Please help me.,2
53,WalkingAnxiety99,My relationship has made me mentally ill,1
54,ftl4438,I’m totally lost,1
55,jmpace6161,This miserable decade ends in 35 days,139
56,Kitkat1025,Thank you r/mentalhealth - you’ve saved me,26
57,Cheerios54,It makes me so FUCKING MAD to see people making fun of kids with real depression/anxiety because they’re “faking it for attention”,9
58,Cheerios54,"Liam, you saved my life.",56
59,Duckerino117,"I'm a recovering anorexic and I made 4 portions of really good pasta last night to last me 3 days, I was proud.",280
60,JKWrites1018,How to suicide-proof your home?,46
61,jaiemoe,Has anyone else gotten to a moment where you realize you feel like yourself for the first time in your life?,31
62,silenceispower123,Just live your life...in a Chinese American Perspective,36
