,author,title,ups
0,SQLwitch,"New wiki on how to avoid accidentally encouraging suicide, and how to spot covert incitement",632
1,SQLwitch,Reminder: Absolutely no activism of any kind is allowed here. Any day.,425
2,cdog304,Who else is dead inside? Just waiting for death with open arms,491
3,ThrowMeAway666x,I'm Starting to Lose Interest in the Things I Normally Enjoy.,29
4,g0ldwaite,"We euthanize pets when we think they have no more quality of life left and it’s deemed the “responsible” thing to do. But when a human knows their life and that they have no hope left, suddenly everyone becomes the expert on “suicide is selfish and there’s a chance things will get better”",67
5,whyamisosadthrowaway,I wish no one knew me so I wouldn’t have to stay here anymore,93
6,kikdrum_,I feel so alone without her,38
7,princejonghyun,I can't have any friends. I ruin everything. I shouldn't have been born and need to stop postponing my death.,14
8,whatpedestrian,This is it,13
9,throw-me_awayyy,All the suicide methods suck.,5
10,throwawayyetaga1nnn,"When my kitten dies, I will probably kill myself",9
11,idiotcore,she says she doesn’t know what she’d do if i died,10
12,apocalingo,"You don't have to stay alive until you are old and grey. You just need to get through today, and maybe tomorrow.",9
13,jesus5553,I’m isolated.,4
14,uhlersoth,2020,4
15,TKFT_ExTr3m3,I'm scared,9
16,RSS_,"I feel so alone. I feel like no one understands nor cares, even after I explain myself. Even when I breakdown in front of them and beg for help it doesn’t seem to make them think I’m in pain. It’s not their fault, but they take it as an attack on them for how I feel. I feel weak and pathetic :(",18
17,HeyitsGray,Absolute emptiness,11
18,Mlmar,Just got told to kill myself,308
19,throwaway12837812,All alone in this stupid loop,6
20,Nunyabz7,Funeral,7
21,ConsciousWelder,I have a feeling this will be my last year,2
22,czapeusz,Fuck this world. Fuck me. Fuck everything,3
23,johnlisle,I won't see 2021,106
24,Bunny295,Uninterested,4
25,themorbidmango,People call me lazy,2
26,YuyaBooya,Should I tell him?,2
27,SQLwitch,"New wiki on how to avoid accidentally encouraging suicide, and how to spot covert incitement",640
28,SQLwitch,Reminder: Absolutely no activism of any kind is allowed here. Any day.,424
29,cdog304,Who else is dead inside? Just waiting for death with open arms,493
30,g0ldwaite,"We euthanize pets when we think they have no more quality of life left and it’s deemed the “responsible” thing to do. But when a human knows their life and that they have no hope left, suddenly everyone becomes the expert on “suicide is selfish and there’s a chance things will get better”",68
